no_pesanan,order_date,sku,product,omset,customer_name,customer_phone,customer_city,packed_date,shipped_date,return_date,package_status,qty
ORD001562,2025-02-01 20:50:21,MDB200,maduboom 200 ml,32000,Jona Dika Saka,8256663522,Lombok Timur,2025-02-01 23:36:21,2025-02-03 15:36:21,,Delivered,3
ORD001563,2025-02-22 17:35:36,VTM60,vitaman 60 ml,30000,Fano Disa Zaka,8270648774,Banyuwangi,2025-02-22 18:47:36,2025-02-23 16:47:36,,Processed,1
ORD001564,2025-01-14 08:02:52,MDB200,maduboom 200 ml,32000,Sari Liba,8407117131,Pekanbaru,2025-01-14 10:48:52,2025-01-15 13:48:52,,On Delivery,2
ORD001565,2025-02-22 20:14:09,VTMMD60,vitaman madu 60 ml,50000,Nasa Rara Rasa,8351905923,Kediri,2025-02-22 20:45:09,2025-02-24 09:45:09,,On Delivery,2
ORD001566,2025-02-16 00:38:05,MDB200,maduboom 200 ml,32000,Miri Riza Saka,8555329636,Pontianak,2025-02-16 02:33:05,2025-02-16 16:33:05,,Delivered,2
ORD001567,2025-02-01 07:57:50,MDB200,maduboom 200 ml,32000,Noza Tiza,8416284179,Ambon,2025-02-01 10:48:50,2025-02-02 11:48:50,,Delivered,2
ORD001568,2025-01-04 16:26:29,MDB200,maduboom 200 ml,32000,Saka Tiri Tili,8117307487,Sukabumi,2025-01-04 19:18:29,2025-01-06 04:18:29,2025-01-11 04:18:29,Returned,3
ORD001569,2025-01-27 16:40:22,MDB200,maduboom 200 ml,32000,Kara Zaza Samo,8933229538,Jembrana,2025-01-27 19:40:22,2025-01-28 10:40:22,,Processed,3
ORD001570,2025-01-30 10:53:52,VTM60,vitaman 60 ml,30000,Zara Rijo,8135859107,Banjarbaru,2025-01-30 11:45:52,2025-01-30 23:45:52,,Processed,1
ORD001571,2025-01-30 15:16:12,MDB200,maduboom 200 ml,32000,Rami Rino Baba,8278618122,Bogor,2025-01-30 16:12:12,2025-02-01 14:12:12,,Processed,3
ORD001572,2025-02-15 03:47:14,JDM,jelly drink madu,20000,Rali Kafa,8186780537,Bekasi,2025-02-15 04:52:14,2025-02-15 18:52:14,,On Delivery,3
ORD001573,2025-01-04 09:36:33,JDM,jelly drink madu,20000,Tijo Dino,8215767696,Pekanbaru,2025-01-04 10:31:33,2025-01-05 10:31:33,2025-01-09 10:31:33,Returned,3
ORD001574,2025-02-06 10:21:30,VTMMD60,vitaman madu 60 ml,50000,Titi Basa,8275080672,Karawang,2025-02-06 12:30:30,2025-02-07 11:30:30,,On Delivery,2
ORD001575,2025-02-08 09:02:47,MDB120,maduboom 120 ml,23000,Sano Riri,8843927400,Ambon,2025-02-08 09:36:47,2025-02-09 10:36:47,,On Delivery,2
ORD001576,2025-01-05 08:32:32,VTMMD60,vitaman madu 60 ml,50000,Mofa Moka,8186093289,Tangerang,2025-01-05 09:35:32,2025-01-07 06:35:32,,Delivered,2
ORD001577,2025-01-16 13:10:53,VTM60,vitaman 60 ml,30000,Miza Moka Limo,8133453866,Bengkulu,2025-01-16 15:15:53,2025-01-18 09:15:53,,Delivered,1
ORD001578,2025-02-03 21:02:29,MDB200,maduboom 200 ml,32000,Jojo Bali Kati,8557023219,Ambon,2025-02-03 22:47:29,2025-02-05 07:47:29,,Processed,1
ORD001579,2025-02-07 23:49:28,MDB200,maduboom 200 ml,32000,Nati Jodi,8352880997,Tabanan,2025-02-08 01:19:28,2025-02-09 20:19:28,,On Delivery,2
ORD001580,2025-01-21 19:49:17,MDB200,maduboom 200 ml,32000,Sadi Tili,8984039074,Banjarbaru,2025-01-21 22:07:17,2025-01-23 16:07:17,,Delivered,1
ORD001581,2025-02-28 03:46:23,MDB120,maduboom 120 ml,23000,Risa Lina,8404800871,Tuban,2025-02-28 06:10:23,2025-03-01 08:10:23,,Processed,3
ORD001582,2025-01-26 19:34:32,MDB120,maduboom 120 ml,23000,Kaza Jona,8174811341,Garut,2025-01-26 21:56:32,2025-01-28 12:56:32,,Delivered,2
ORD001583,2025-02-01 04:17:27,JDM,jelly drink madu,20000,Joka Dika,8512069816,Surabaya,2025-02-01 06:14:27,2025-02-02 08:14:27,,On Delivery,3
ORD001584,2025-02-13 11:30:44,MDB120,maduboom 120 ml,23000,Lira Safa Diza,8251907156,Ngawi,2025-02-13 12:50:44,2025-02-14 19:50:44,,Delivered,3
ORD001585,2025-01-11 06:26:27,MDB120,maduboom 120 ml,23000,Dili Baba,8616445183,Jepara,2025-01-11 07:31:27,2025-01-12 18:31:27,,Delivered,2
ORD001586,2025-01-05 06:52:45,VTMMD60,vitaman madu 60 ml,50000,Jojo Miba,8725351869,Bogor,2025-01-05 07:58:45,2025-01-06 00:58:45,2025-01-11 00:58:45,Returned,1
ORD001587,2025-01-19 11:27:46,VTM60,vitaman 60 ml,30000,Liza Fasa Dimo,8359205612,Gorontalo,2025-01-19 12:26:46,2025-01-19 17:26:46,,On Delivery,3
ORD001588,2025-01-13 06:47:06,JDM,jelly drink madu,20000,Fari Kari Moba,8216148903,Palu,2025-01-13 07:44:06,2025-01-15 01:44:06,,On Delivery,1
ORD001589,2025-01-08 13:33:09,MDB120,maduboom 120 ml,23000,Mora Momi Tifa,8550437403,Mataram,2025-01-08 14:11:09,2025-01-10 03:11:09,,Delivered,1
ORD001590,2025-01-02 06:48:18,MDB120,maduboom 120 ml,23000,Diba Moti Tina,8354133390,Ngawi,2025-01-02 07:37:18,2025-01-03 14:37:18,,Delivered,3
ORD001591,2025-02-03 21:43:19,VTMMD60,vitaman madu 60 ml,50000,Sari Zari,8163894715,Batam,2025-02-03 22:16:19,2025-02-04 21:16:19,2025-02-08 21:16:19,Returned,2
ORD001592,2025-01-27 10:41:13,VTM60,vitaman 60 ml,30000,Tiba Badi Basa,8134706845,Jembrana,2025-01-27 11:57:13,2025-01-29 01:57:13,,On Delivery,3
ORD001593,2025-02-24 08:40:21,MDB200,maduboom 200 ml,32000,Mora Nasa Jori,8640313857,Pekanbaru,2025-02-24 09:25:21,2025-02-26 05:25:21,,On Delivery,3
ORD001594,2025-02-10 21:23:45,JDM,jelly drink madu,20000,Zali Rimo Jojo,8837288337,Jepara,2025-02-10 22:07:45,2025-02-12 16:07:45,,Delivered,3
ORD001595,2025-02-19 17:04:23,VTMMD60,vitaman madu 60 ml,50000,Diza Mosa,8234740059,Lombok Timur,2025-02-19 17:44:23,2025-02-20 22:44:23,,Processed,2
ORD001596,2025-01-25 11:07:29,MDB200,maduboom 200 ml,32000,Tifa Saza,8186225130,Kupang,2025-01-25 11:55:29,2025-01-26 18:55:29,,Processed,1
ORD001597,2025-01-14 13:06:03,VTM60,vitaman 60 ml,30000,Miba Jomo,8573439146,Bogor,2025-01-14 15:47:03,2025-01-15 15:47:03,,Delivered,3
ORD001598,2025-01-14 19:27:09,VTM60,vitaman 60 ml,30000,Miba Zari Tina,8121911668,Bandar Lampung,2025-01-14 21:53:09,2025-01-16 12:53:09,2025-01-19 12:53:09,Returned,2
ORD001599,2025-01-16 14:34:22,JDM,jelly drink madu,20000,Nadi Rino,8770142665,Denpasar,2025-01-16 16:02:22,2025-01-16 23:02:22,,Delivered,3
ORD001600,2025-02-14 05:30:08,MDB120,maduboom 120 ml,23000,Nadi Sami Fadi,8246666012,Subang,2025-02-14 08:28:08,2025-02-15 01:28:08,,Delivered,3
ORD001601,2025-02-22 06:38:00,MDB120,maduboom 120 ml,23000,Nojo Kara,8654197286,Gorontalo,2025-02-22 07:32:00,2025-02-23 04:32:00,,Delivered,1
ORD001602,2025-01-14 12:08:36,JDM,jelly drink madu,20000,Moti Mofa,8619603516,Cikarang,2025-01-14 13:34:36,2025-01-16 09:34:36,,Delivered,1
ORD001603,2025-02-02 02:59:11,VTMMD60,vitaman madu 60 ml,50000,Mono Rali Bamo,8233811108,Surabaya,2025-02-02 05:27:11,2025-02-03 15:27:11,,On Delivery,2
ORD001604,2025-01-17 19:13:21,VTMMD60,vitaman madu 60 ml,50000,Naza Mino Lira,8921514202,Maumere,2025-01-17 21:08:21,2025-01-19 03:08:21,,On Delivery,2
ORD001605,2025-01-08 15:32:43,MDB120,maduboom 120 ml,23000,Fati Riba,8680821419,Kupang,2025-01-08 16:41:43,2025-01-09 07:41:43,,Delivered,3
ORD001606,2025-01-14 19:37:39,VTMMD60,vitaman madu 60 ml,50000,Kana Momi,8670450046,Tasikmalaya,2025-01-14 22:27:39,2025-01-15 14:27:39,,On Delivery,1
ORD001607,2025-01-25 19:34:52,JDM,jelly drink madu,20000,Kaka Rafa Lino,8677247589,Malang,2025-01-25 22:01:52,2025-01-26 10:01:52,,Processed,2
ORD001608,2025-01-24 13:57:34,VTMMD60,vitaman madu 60 ml,50000,Rasa Kadi,8427187667,Tegal,2025-01-24 14:57:34,2025-01-25 17:57:34,,On Delivery,2
ORD001609,2025-02-02 11:30:16,VTMMD60,vitaman madu 60 ml,50000,Naka Faka Timo,8721027139,Balikpapan,2025-02-02 13:23:16,2025-02-02 23:23:16,,Processed,2
ORD001610,2025-01-04 10:01:16,JDM,jelly drink madu,20000,Fara Raka,8150288019,Gorontalo,2025-01-04 12:27:16,2025-01-06 12:27:16,,On Delivery,3
ORD001611,2025-02-07 07:42:50,VTM60,vitaman 60 ml,30000,Rami Bajo Rino,8973663801,Kediri,2025-02-07 08:14:50,2025-02-08 01:14:50,,On Delivery,3
ORD001612,2025-02-04 22:34:52,JDM,jelly drink madu,20000,Rami Risa,8893602725,Kudus,2025-02-05 00:56:52,2025-02-07 00:56:52,,On Delivery,1
ORD001613,2025-01-22 07:11:10,JDM,jelly drink madu,20000,Sami Momo Mofa,8135076582,Kendari,2025-01-22 08:06:10,2025-01-23 22:06:10,,Delivered,2
ORD001614,2025-01-21 23:59:26,JDM,jelly drink madu,20000,Naka Noza,8793345611,Indramayu,2025-01-22 01:44:26,2025-01-23 05:44:26,,Processed,3
ORD001615,2025-01-17 13:39:24,VTM60,vitaman 60 ml,30000,Jofa Zana Rino,8566738324,Subang,2025-01-17 14:45:24,2025-01-18 05:45:24,,Delivered,3
ORD001616,2025-02-18 03:23:44,VTMMD60,vitaman madu 60 ml,50000,Tiza Rimo Mifa,8480518798,Yogyakarta,2025-02-18 04:25:44,2025-02-19 20:25:44,,On Delivery,1
ORD001617,2025-01-31 12:56:24,JDM,jelly drink madu,20000,Riba Joza Najo,8572971513,Banjarmasin,2025-01-31 14:22:24,2025-01-31 23:22:24,,Delivered,3
ORD001618,2025-01-14 11:54:40,VTMMD60,vitaman madu 60 ml,50000,Riti Saka,8902773804,Madiun,2025-01-14 13:23:40,2025-01-15 16:23:40,,Processed,2
ORD001619,2025-01-17 09:48:46,VTMMD60,vitaman madu 60 ml,50000,Zami Fadi,8734272586,Situbondo,2025-01-17 11:19:46,2025-01-18 03:19:46,,Processed,3
ORD001620,2025-01-31 10:57:57,MDB120,maduboom 120 ml,23000,Noba Rili,8995749842,Purwakarta,2025-01-31 13:27:57,2025-02-01 08:27:57,,Processed,1
ORD001621,2025-02-10 05:01:58,MDB120,maduboom 120 ml,23000,Kasa Raza Diri,8326521489,Tasikmalaya,2025-02-10 06:34:58,2025-02-11 12:34:58,,On Delivery,2
ORD001622,2025-01-04 23:36:24,MDB120,maduboom 120 ml,23000,Diza Saba,8623715042,Ngawi,2025-01-05 02:25:24,2025-01-06 00:25:24,,Delivered,3
ORD001623,2025-02-14 07:04:57,JDM,jelly drink madu,20000,Miti Momi Baza,8221987829,Cikarang,2025-02-14 09:35:57,2025-02-15 11:35:57,,Delivered,3
ORD001624,2025-02-05 05:24:46,VTM60,vitaman 60 ml,30000,Jona Nami,8861619489,Pontianak,2025-02-05 07:08:46,2025-02-06 06:08:46,,Delivered,3
ORD001625,2025-02-27 23:48:24,JDM,jelly drink madu,20000,Riti Sali,8729947624,Sorong,2025-02-28 00:53:24,2025-02-28 06:53:24,,Processed,1
ORD001626,2025-01-22 12:40:50,VTMMD60,vitaman madu 60 ml,50000,Lidi Nali Miza,8192056733,Kediri,2025-01-22 13:12:50,2025-01-23 08:12:50,,Processed,2
ORD001627,2025-01-26 01:28:49,VTM60,vitaman 60 ml,30000,Rifa Nasa,8345562207,Depok,2025-01-26 02:51:49,2025-01-27 04:51:49,,Processed,1
ORD001628,2025-01-23 17:31:29,VTMMD60,vitaman madu 60 ml,50000,Momi Noka,8160752849,Palembang,2025-01-23 19:46:29,2025-01-25 18:46:29,,On Delivery,2
ORD001629,2025-01-29 06:35:26,MDB120,maduboom 120 ml,23000,Raza Fano,8561812390,Karawang,2025-01-29 09:34:26,2025-01-30 07:34:26,,On Delivery,3
ORD001630,2025-02-08 21:01:54,MDB200,maduboom 200 ml,32000,Famo Miba,8748379008,Blitar,2025-02-08 23:28:54,2025-02-09 17:28:54,,Delivered,3
ORD001631,2025-01-19 01:56:48,JDM,jelly drink madu,20000,Lili Bano Lina,8172490987,Tuban,2025-01-19 03:05:48,2025-01-19 08:05:48,,Processed,2
ORD001632,2025-01-07 16:01:23,JDM,jelly drink madu,20000,Rana Nadi,8389610220,Tasikmalaya,2025-01-07 16:42:23,2025-01-08 18:42:23,2025-01-13 18:42:23,Returned,3
ORD001633,2025-02-15 21:41:28,MDB200,maduboom 200 ml,32000,Rati Basa Risa,8138103265,Lombok Barat,2025-02-16 00:32:28,2025-02-17 10:32:28,,On Delivery,1
ORD001634,2025-01-22 18:36:36,JDM,jelly drink madu,20000,Samo Kali Liti,8279398280,Ende,2025-01-22 19:34:36,2025-01-24 02:34:36,,On Delivery,1
ORD001635,2025-01-06 12:21:47,VTMMD60,vitaman madu 60 ml,50000,Fafa Faka Liza,8312328026,Yogyakarta,2025-01-06 13:38:47,2025-01-07 10:38:47,,Processed,3
ORD001636,2025-01-25 04:32:42,VTM60,vitaman 60 ml,30000,Didi Nami Tiba,8304813997,Kendari,2025-01-25 06:22:42,2025-01-26 20:22:42,,On Delivery,2
ORD001637,2025-01-17 00:14:28,VTMMD60,vitaman madu 60 ml,50000,Sari Lina,8120105425,Ponorogo,2025-01-17 01:17:28,2025-01-18 12:17:28,,Processed,2
ORD001638,2025-02-04 08:16:55,JDM,jelly drink madu,20000,Faka Zadi,8764793696,Bekasi,2025-02-04 10:37:55,2025-02-06 00:37:55,,On Delivery,2
ORD001639,2025-02-17 02:28:30,JDM,jelly drink madu,20000,Fadi Baka Miti,8961232355,Depok,2025-02-17 04:51:30,2025-02-18 05:51:30,,Processed,1
ORD001640,2025-02-19 12:27:29,JDM,jelly drink madu,20000,Rari Rijo,8378113686,Boyolali,2025-02-19 13:57:29,2025-02-20 20:57:29,,On Delivery,3
ORD001641,2025-01-21 18:19:03,VTM60,vitaman 60 ml,30000,Sami Mora,8807257293,Kudus,2025-01-21 20:35:03,2025-01-22 20:35:03,,Processed,1
ORD001642,2025-02-04 03:34:39,MDB200,maduboom 200 ml,32000,Nora Nori Jojo,8522533305,Bogor,2025-02-04 05:44:39,2025-02-04 22:44:39,2025-02-08 22:44:39,Returned,2
ORD001643,2025-01-19 19:14:36,MDB120,maduboom 120 ml,23000,Mira Raba Nodi,8568828039,Denpasar,2025-01-19 19:51:36,2025-01-20 17:51:36,,Processed,3
ORD001644,2025-01-01 04:13:07,VTM60,vitaman 60 ml,30000,Mimi Naka Mosa,8390552217,Cirebon,2025-01-01 06:00:07,2025-01-02 07:00:07,,Processed,2
ORD001645,2025-02-17 22:47:44,MDB120,maduboom 120 ml,23000,Saba Naza Baza,8182436510,Ambon,2025-02-18 01:01:44,2025-02-19 02:01:44,,Processed,1
ORD001646,2025-01-06 16:29:22,MDB120,maduboom 120 ml,23000,Rijo Noli,8137517207,Banjarbaru,2025-01-06 18:58:22,2025-01-08 18:58:22,,Processed,2
ORD001647,2025-01-08 08:06:31,JDM,jelly drink madu,20000,Tili Kami Raka,8635689968,Gresik,2025-01-08 09:14:31,2025-01-10 08:14:31,,On Delivery,2
ORD001648,2025-01-25 11:07:48,VTMMD60,vitaman madu 60 ml,50000,Kami Josa,8938123493,Lombok Barat,2025-01-25 13:18:48,2025-01-27 09:18:48,,On Delivery,1
ORD001649,2025-02-24 18:18:55,MDB200,maduboom 200 ml,32000,Joti Kati,8735894118,Pekanbaru,2025-02-24 19:35:55,2025-02-26 03:35:55,,On Delivery,3
ORD001650,2025-01-10 15:05:30,MDB120,maduboom 120 ml,23000,Naka Naza Titi,8564849640,Pontianak,2025-01-10 16:57:30,2025-01-10 23:57:30,,Processed,1
ORD001651,2025-01-06 00:49:26,JDM,jelly drink madu,20000,Kajo Kano,8368265834,Sumedang,2025-01-06 01:46:26,2025-01-07 20:46:26,,On Delivery,3
ORD001652,2025-01-21 18:24:03,JDM,jelly drink madu,20000,Rasa Tijo Zaba,8293419009,Makassar,2025-01-21 19:11:03,2025-01-22 00:11:03,,On Delivery,2
ORD001653,2025-02-11 18:54:27,JDM,jelly drink madu,20000,Mika Sadi Fafa,8925301900,Jakarta,2025-02-11 20:14:27,2025-02-12 13:14:27,,Processed,2
ORD001654,2025-01-31 08:20:51,VTM60,vitaman 60 ml,30000,Zali Diti,8697153636,Cirebon,2025-01-31 10:15:51,2025-02-01 04:15:51,,Delivered,1
ORD001655,2025-02-22 22:04:52,VTM60,vitaman 60 ml,30000,Tiba Rino,8194903921,Buleleng,2025-02-23 00:57:52,2025-02-24 01:57:52,,Delivered,2
ORD001656,2025-02-24 19:10:59,VTM60,vitaman 60 ml,30000,Najo Jono Tiri,8920570208,Cianjur,2025-02-24 20:18:59,2025-02-26 13:18:59,,On Delivery,2
ORD001657,2025-01-09 07:49:57,VTM60,vitaman 60 ml,30000,Zafa Sara Nari,8172805469,Jepara,2025-01-09 08:44:57,2025-01-09 18:44:57,,On Delivery,2
ORD001658,2025-02-07 10:14:12,VTMMD60,vitaman madu 60 ml,50000,Badi Titi Nodi,8436835125,Denpasar,2025-02-07 11:40:12,2025-02-08 21:40:12,2025-02-10 21:40:12,Returned,1
ORD001659,2025-01-17 03:48:31,MDB200,maduboom 200 ml,32000,Fadi Bali,8966961867,Jepara,2025-01-17 06:44:31,2025-01-18 16:44:31,,On Delivery,3
ORD001660,2025-01-03 07:06:02,MDB200,maduboom 200 ml,32000,Risa Fadi,8737750571,Pasuruan,2025-01-03 09:09:02,2025-01-04 18:09:02,,Delivered,2
ORD001661,2025-02-04 05:38:57,VTM60,vitaman 60 ml,30000,Mofa Moza Tiri,8718784399,Makassar,2025-02-04 07:27:57,2025-02-04 12:27:57,,Delivered,2
ORD001662,2025-02-22 04:31:59,MDB200,maduboom 200 ml,32000,Fano Momo,8769848301,Purwokerto,2025-02-22 05:14:59,2025-02-23 19:14:59,,Processed,2
ORD001663,2025-02-01 12:25:27,VTM60,vitaman 60 ml,30000,Bara Naka,8200368934,Jakarta,2025-02-01 13:04:27,2025-02-02 15:04:27,,On Delivery,3
ORD001664,2025-01-01 07:07:06,VTMMD60,vitaman madu 60 ml,50000,Jona Nali Didi,8524699445,Sukabumi,2025-01-01 09:58:06,2025-01-03 07:58:06,,On Delivery,1
ORD001665,2025-02-03 05:55:43,MDB120,maduboom 120 ml,23000,Nasa Samo,8696480961,Semarang,2025-02-03 08:45:43,2025-02-04 07:45:43,,Processed,2
ORD001666,2025-01-18 00:53:52,JDM,jelly drink madu,20000,Mori Lidi Mimi,8812738053,Makassar,2025-01-18 02:47:52,2025-01-18 10:47:52,,Processed,1
ORD001667,2025-01-30 15:33:02,VTM60,vitaman 60 ml,30000,Ramo Namo Rimo,8283804333,Bandung,2025-01-30 17:47:02,2025-01-31 16:47:02,,Delivered,2
ORD001668,2025-02-12 08:45:44,VTM60,vitaman 60 ml,30000,Jono Misa Diti,8424913957,Indramayu,2025-02-12 10:39:44,2025-02-12 17:39:44,,Delivered,3
ORD001669,2025-01-02 09:16:26,VTM60,vitaman 60 ml,30000,Faba Miti,8271978632,Ambon,2025-01-02 10:41:26,2025-01-03 18:41:26,,On Delivery,1
ORD001670,2025-01-16 22:04:29,MDB200,maduboom 200 ml,32000,Saka Tijo Diba,8342659864,Pontianak,2025-01-16 22:35:29,2025-01-17 16:35:29,,Delivered,1
ORD001671,2025-01-23 14:38:59,JDM,jelly drink madu,20000,Kaka Zano,8691321799,Boyolali,2025-01-23 16:56:59,2025-01-24 02:56:59,,On Delivery,1
ORD001672,2025-01-16 02:02:10,JDM,jelly drink madu,20000,Difa Rafa Nasa,8161667431,Singkawang,2025-01-16 03:01:10,2025-01-18 00:01:10,,Delivered,1
ORD001673,2025-01-16 07:30:55,MDB120,maduboom 120 ml,23000,Risa Rara,8251620461,Sidoarjo,2025-01-16 09:40:55,2025-01-17 05:40:55,2025-01-23 05:40:55,Returned,2
ORD001674,2025-02-05 04:58:38,VTM60,vitaman 60 ml,30000,Kati Momo Dika,8528291400,Tuban,2025-02-05 06:19:38,2025-02-07 04:19:38,,Processed,3
ORD001675,2025-02-20 13:14:30,VTMMD60,vitaman madu 60 ml,50000,Ramo Lisa,8848876565,Bandung,2025-02-20 15:58:30,2025-02-22 10:58:30,,Delivered,1
ORD001676,2025-01-03 09:29:43,MDB200,maduboom 200 ml,32000,Riri Dino Mijo,8902951052,Bekasi,2025-01-03 10:10:43,2025-01-04 21:10:43,,Delivered,3
ORD001677,2025-02-09 12:01:18,MDB200,maduboom 200 ml,32000,Nono Zamo,8649539904,Yogyakarta,2025-02-09 13:50:18,2025-02-10 03:50:18,,On Delivery,2
ORD001678,2025-01-01 22:08:35,VTMMD60,vitaman madu 60 ml,50000,Raka Nofa Naza,8102701970,Lombok Barat,2025-01-01 23:55:35,2025-01-02 15:55:35,,On Delivery,3
ORD001679,2025-01-14 22:15:28,MDB120,maduboom 120 ml,23000,Tijo Moza Faza,8824606895,Cianjur,2025-01-15 00:01:28,2025-01-15 23:01:28,,On Delivery,1
ORD001680,2025-01-24 09:50:05,MDB200,maduboom 200 ml,32000,Limi Noba,8730167617,Tasikmalaya,2025-01-24 12:06:05,2025-01-25 04:06:05,,Delivered,3
ORD001681,2025-01-20 19:43:49,VTM60,vitaman 60 ml,30000,Kaba Zaka,8326660496,Kediri,2025-01-20 22:16:49,2025-01-21 10:16:49,,Processed,2
ORD001682,2025-02-05 07:26:35,MDB120,maduboom 120 ml,23000,Rijo Rika Rifa,8222210796,Malang,2025-02-05 09:22:35,2025-02-06 07:22:35,,Delivered,1
ORD001683,2025-02-05 08:56:45,VTM60,vitaman 60 ml,30000,Riri Zali,8931218952,Pekanbaru,2025-02-05 10:30:45,2025-02-06 17:30:45,,Delivered,1
ORD001684,2025-01-27 06:08:54,MDB120,maduboom 120 ml,23000,Bamo Kasa,8932431314,Lombok Barat,2025-01-27 08:16:54,2025-01-29 01:16:54,,On Delivery,1
ORD001685,2025-01-31 09:04:59,MDB120,maduboom 120 ml,23000,Diti Josa,8557694481,Palangkaraya,2025-01-31 10:05:59,2025-02-01 14:05:59,,Processed,1
ORD001686,2025-02-21 15:34:19,MDB120,maduboom 120 ml,23000,Nafa Tika Tiri,8969477946,Cianjur,2025-02-21 16:28:19,2025-02-21 21:28:19,2025-02-25 21:28:19,Returned,3
ORD001687,2025-01-30 13:29:11,MDB120,maduboom 120 ml,23000,Rimi Mino Jomo,8925497284,Bandar Lampung,2025-01-30 15:34:11,2025-01-30 23:34:11,2025-02-05 23:34:11,Returned,2
ORD001688,2025-02-14 04:09:13,VTM60,vitaman 60 ml,30000,Kana Rano,8663631834,Bojonegoro,2025-02-14 05:17:13,2025-02-14 17:17:13,,Delivered,1
ORD001689,2025-02-25 01:08:41,JDM,jelly drink madu,20000,Jomi Mofa Mora,8471204028,Purwakarta,2025-02-25 02:23:41,2025-02-25 19:23:41,2025-02-27 19:23:41,Returned,1
ORD001690,2025-01-24 05:49:26,VTMMD60,vitaman madu 60 ml,50000,Safa Kaza Jomi,8725055034,Magelang,2025-01-24 07:30:26,2025-01-25 03:30:26,,On Delivery,1
ORD001691,2025-02-07 01:38:00,MDB200,maduboom 200 ml,32000,Lina Noli,8655690701,Karangasem,2025-02-07 02:34:00,2025-02-08 01:34:00,,Delivered,1
ORD001692,2025-01-22 12:10:15,MDB200,maduboom 200 ml,32000,Dili Diza,8723500514,Bengkulu,2025-01-22 13:02:15,2025-01-23 04:02:15,,Delivered,2
ORD001693,2025-01-29 18:12:41,MDB200,maduboom 200 ml,32000,Fali Lidi Miza,8409087660,Bangli,2025-01-29 19:11:41,2025-01-30 06:11:41,,Processed,1
ORD001694,2025-01-17 01:32:31,MDB200,maduboom 200 ml,32000,Zamo Bami Kari,8499035135,Batam,2025-01-17 02:27:31,2025-01-17 22:27:31,,Delivered,2
ORD001695,2025-01-05 10:18:51,VTMMD60,vitaman madu 60 ml,50000,Mofa Raba,8876548572,Bangli,2025-01-05 11:58:51,2025-01-05 18:58:51,,On Delivery,2
ORD001696,2025-02-05 08:13:03,VTMMD60,vitaman madu 60 ml,50000,Tina Radi,8987807515,Probolinggo,2025-02-05 11:08:03,2025-02-05 19:08:03,,Processed,2
ORD001697,2025-02-07 15:33:52,JDM,jelly drink madu,20000,Mifa Rifa,8240665480,Tuban,2025-02-07 17:55:52,2025-02-08 10:55:52,,On Delivery,1
ORD001698,2025-02-02 01:04:26,MDB120,maduboom 120 ml,23000,Jojo Joka,8805484251,Yogyakarta,2025-02-02 01:43:26,2025-02-02 13:43:26,,Delivered,2
ORD001699,2025-01-01 16:32:44,VTMMD60,vitaman madu 60 ml,50000,Bamo Zara,8885032086,Jambi,2025-01-01 17:54:44,2025-01-02 02:54:44,2025-01-08 02:54:44,Returned,2
ORD001700,2025-01-21 07:17:00,VTMMD60,vitaman madu 60 ml,50000,Bami Nomi,8384508438,Yogyakarta,2025-01-21 09:31:00,2025-01-23 09:31:00,,Processed,3
ORD001701,2025-02-27 23:21:17,VTMMD60,vitaman madu 60 ml,50000,Dili Didi,8471589164,Samarinda,2025-02-28 02:04:17,2025-02-28 18:04:17,,On Delivery,3
ORD001702,2025-01-23 12:05:55,MDB120,maduboom 120 ml,23000,Miti Sami,8823777741,Probolinggo,2025-01-23 14:51:55,2025-01-24 13:51:55,,Delivered,1
ORD001703,2025-01-25 00:39:01,MDB200,maduboom 200 ml,32000,Fasa Nati Kajo,8334411275,Sidoarjo,2025-01-25 02:16:01,2025-01-26 20:16:01,,On Delivery,2
ORD001704,2025-02-14 20:42:44,MDB120,maduboom 120 ml,23000,Fadi Bali Bali,8389685748,Ternate,2025-02-14 21:36:44,2025-02-16 10:36:44,,Processed,1
ORD001705,2025-01-31 02:56:17,MDB200,maduboom 200 ml,32000,Diri Didi Noka,8520900333,Gorontalo,2025-01-31 04:28:17,2025-02-01 18:28:17,,On Delivery,2
ORD001706,2025-02-03 17:50:43,MDB120,maduboom 120 ml,23000,Kati Difa Saba,8672234821,Gresik,2025-02-03 20:18:43,2025-02-04 17:18:43,,On Delivery,2
ORD001707,2025-02-03 12:22:55,VTMMD60,vitaman madu 60 ml,50000,Basa Lifa,8849113066,Probolinggo,2025-02-03 12:54:55,2025-02-05 01:54:55,,On Delivery,3
ORD001708,2025-01-11 02:10:14,MDB200,maduboom 200 ml,32000,Kano Tiba Miba,8961401762,Sukabumi,2025-01-11 04:58:14,2025-01-12 06:58:14,,Processed,1
ORD001709,2025-01-21 21:55:23,JDM,jelly drink madu,20000,Rika Namo,8305411518,Sukabumi,2025-01-22 00:05:23,2025-01-22 08:05:23,,On Delivery,1
ORD001710,2025-02-20 04:00:50,JDM,jelly drink madu,20000,Bana Modi Zaza,8104116150,Banyuwangi,2025-02-20 06:36:50,2025-02-21 15:36:50,,On Delivery,1
ORD001711,2025-02-07 11:57:32,MDB120,maduboom 120 ml,23000,Josa Mono Kasa,8775508542,Lombok Timur,2025-02-07 12:35:32,2025-02-08 05:35:32,,Delivered,3
